code_province,code_municipality,province,municipality,latitude,longitude
22,22.08,Artemisa,Alquízar,22.80667,-82.58278
22,22.09,Artemisa,Artemisa,22.81361,-82.76333
22,22.01,Artemisa,Bahía Honda,22.90639,-83.16361
22,22.05,Artemisa,Bauta,22.99194,-82.54917
22,22.04,Artemisa,Caimito,22.95778,-82.59639
22,22.10,Artemisa,Candelaria,22.74444,-82.96583
22,22.03,Artemisa,Guanajay,22.93056,-82.68778
22,22.07,Artemisa,Güira de Melena,22.80222,-82.50472
22,22.02,Artemisa,Mariel,22.99389,-82.75389
22,22.06,Artemisa,San Antonio de los Baños,22.88889,-82.49861
22,22.11,Artemisa,San Cristóbal,22.71694,-83.05111
30,30.08,Camagüey,Camagüey,21.38389,-77.90722
30,30.01,Camagüey,Carlos Manuel de Céspedes,21.57694,-78.2775
30,30.02,Camagüey,Esmeralda,21.85611,-78.11111
30,30.09,Camagüey,Florida,21.52944,-78.2225
30,30.06,Camagüey,Guáimaro,21.05889,-77.34778
30,30.11,Camagüey,Jimaguayú,21.26667,-77.83028
30,30.04,Camagüey,Minas,21.48944,-77.60472
30,30.12,Camagüey,Najasa,21.08389,-77.74694
30,30.05,Camagüey,Nuevitas,21.54028,-77.26444
30,30.13,Camagüey,Santa Cruz del Sur,20.71944,-77.99083
30,30.07,Camagüey,Sibanicú,21.23917,-77.52083
30,30.03,Camagüey,Sierra de Cubitas,21.73306,-77.77056
30,30.10,Camagüey,Vertientes,21.25722,-78.14889
29,29.10,Ciego de Ávila,Baraguá,21.68222,-78.62444
29,29.03,Ciego de Ávila,Bolivia,22.075,-78.35028
29,29.01,Ciego de Ávila,Chambas,22.19667,-78.91306
29,29.08,Ciego de Ávila,Ciego de Ávila,21.84806,-78.76278
29,29.05,Ciego de Ávila,Ciro Redondo,22.01889,-78.70278
29,29.06,Ciego de Ávila,Florencia,22.1475,-78.96694
29,29.07,Ciego de Ávila,Majagua,21.92444,-78.99056
29,29.02,Ciego de Ávila,Morón,22.11083,-78.62778
29,29.04,Ciego de Ávila,Primero de Enero,21.94528,-78.41889
29,29.09,Ciego de Ávila,Venezuela,21.75111,-78.77889
27,27.08,Cienfuegos,Abreus,22.28056,-80.56778
27,27.01,Cienfuegos,Aguada de Pasajeros,22.38472,-80.84611
27,27.07,Cienfuegos,Cienfuegos,22.14583,-80.43639
27,27.05,Cienfuegos,Cruces,22.34222,-80.27611
27,27.06,Cienfuegos,Cumanayagua,22.1525,-80.20111
27,27.04,Cienfuegos,Lajas,22.41639,-80.29056
27,27.03,Cienfuegos,Palmira,22.24444,-80.39417
27,27.02,Cienfuegos,Rodas,22.34278,-80.55528
33,33.11,Granma,Bartolomé Masó,20.16861,-76.9425
33,33.04,Granma,Bayamo,20.38167,-76.6425
33,33.12,Granma,Buey Arriba,20.17361,-76.74917
33,33.07,Granma,Campechuela,20.23333,-77.27889
